"Отчет по анализу репозитория"

Репозиторий;wakeoneself/taskshub
Ветка;main
"Дата анализа";"23.12.2024 17:43:31"

№;"Хеш коммита";Описание;"Добавлено строк";"Удалено строк";"Изменено файлов";Стоимость
1;1d45f1a2;"modified: components/Tasks/TaskUser.vue";1;1;1;"4,74 $"
2;07ca8ab9;"✨ (colors.less): add new color variables for wal...";86;16;13;"101,25 $"
3;2fa726a5;"♻️ (TaskUser.vue): replace placeholder comment...";43;17;6;"47,62 $"
4;e3fbb804;"🐛 (TaskCreator.vue): add condition to display s...";1;1;1;"4,74 $"
5;4f746f9d;"✨ (tasks): add support for auto task creation an...";566;58;16;"455,56 $"
6;b73278fa;"✨ (AutoTaskCreation.vue): add multi-step task cr...";2256;50;5;"1 671,44 $"
7;fc3920f3;"✨ (AutoTaskCreation.vue): add new component for ...";118;16;10;"115,61 $"
8;11b59ab6;"✨ (task-creation): add task type selection UI an...";357;295;7;"220,02 $"
9;4b87202b;"🔧 (env.example): update database URL format and...";3;3;1;"5,77 $"
10;fc8dc36e;"💄 (wallet.less): reduce margin-top for wallet i...";1;1;1;"4,74 $"
11;f3d51dd8;"✨ (Navbar.vue, BackButton.vue): add haptic feedb...";21;10;5;"29,86 $"
12;4849ef3e;"✨ (TaskUser.vue, TaskCreator.vue): add declined ...";279;44;13;"237,48 $"
13;e69fb6b1;"Merge pull request #19 from wakeoneself/RomAlx/fea...";69;25;2;"52,65 $"
14;a06b4cf2;"added pagination on TasksList";69;25;2;"52,65 $"
15;31a67724;"✨ (TopUpModal.vue): add expired state handling f...";41;8;5;"45,08 $"
16;c24b724e;"✨ (css): add new button border color variable an...";121;15;10;"118,05 $"
17;5948989c;"📝 (README.md): fix formatting issue and add int...";6;1;1;"8,44 $"
18;85072740;"✨ (TopUpModal.vue, useCopyTool.js): add copy to ...";189;16;12;"174,23 $"
19;345050f1;"Merge pull request #18 from wakeoneself/RomAlx/fea...";42;10;4;"42,27 $"
20;28f19202;"cookie, token, 24 hours";42;10;4;"42,27 $"
21;07e39d35;"✨ (manageTask.js, manageWallet.js): add NOWPayme...";49;1;2;"43,28 $"
22;200baae3;"💄 (upgrade.less): reduce box-shadow size for be...";54;54;5;"44,32 $"
23;c1dfdab7;"✨ (ipn.js): add initial setup for IPN handler wi...";6;0;1;"8,66 $"
24;6e8bd035;"Merge pull request #16 from wakeoneself/feature/Ro...";443;202;11;"316,84 $"
25;e82448a4;"delete console.log with initdata";1;1;1;"4,74 $"
26;0a197a84;"Validation for tasks";444;203;12;"320,45 $"
27;3e422979;"🐛 (wallet.vue): conditionally render LastTransa...";1;1;1;"4,74 $"
28;0bf632c7;"✨ (TopUpModal.vue): add loading spinner and hand...";64;16;6;"63,36 $"
29;f0cdab38;"💄 (upgrade.less): enhance page_title styling wi...";14;7;7;"31,55 $"
30;cd488ffb;"📝 (README.md): enhance section headings for bet...";5;5;1;"6,80 $"
31;e5a1f176;"📝 (README.md): add navigation guide for core ap...";17;0;1;"16,78 $"
32;a6e4520c;"📝 (README.md): fix formatting for library paths...";2;4;1;"4,81 $"
33;7ce30cdd;"📝 (README.md): add spacing for better readabili...";2;0;1;"5,71 $"
34;1ed2570f;"📝 (README.md): add section to document utility ...";6;0;1;"8,66 $"
35;412cd37b;"🔧 (env.example): add NOWPAY_IPN variable for IP...";1131;130;20;"868,99 $"
36;29a8fb6f;"🌐 (Tasks): add titles to task components for be...";26;9;5;"33,77 $"
37;e03df8b9;"♻️ (TopUpModal.vue): refactor layout to improv...";14;10;1;"12,32 $"
38;643efc68;"✨ (TopUpModal.vue): add wallet selection and top...";62;7;5;"60,81 $"
39;cb0816e2;"🔧 (env.example): add DATABASE_DIRECT_URL variab...";2;1;1;"5,48 $"
40;98de6008;"📝 (README.md): update emoji for administration ...";37;2;6;"46,57 $"
41;178a0386;"🔧 (docker): add .dockerignore to exclude unnece...";326;17;9;"265,90 $"
42;ef39e2a4;"✨ (LastTransctions.vue): add LastTransactions co...";231;22;8;"191,52 $"
43;e2437d8b;"✨ (prisma): add TransactionStatus enum and trans...";21;10;2;"20,58 $"
44;49e0a3ec;"✨ (TaskCreator.vue): add delete task functionali...";112;4;4;"95,32 $"
45;6179abed;"✨ (TaskUser.vue, MyReportModal.vue): add MyRepor...";177;4;5;"146,42 $"
46;c7658602;"✨ (reportsList.vue): add tabbed filtering and pa...";91;49;3;"66,59 $"
47;8807e2a4;"♻️ (perform.js): remove try-catch block to sim...";38;44;1;"22,39 $"
48;d3287a57;"✨ (Pagination.vue): add pagination component for...";353;136;11;"265,24 $"
49;ff868f1f;"✨ (app.vue): add runtime configuration support t...";106;58;5;"81,83 $"
50;2d86f6d6;"Merge pull request #8 from wakeoneself/feature/Rom...";139;48;3;"102,26 $"
51;e6358731;"updated main merged";352;10;10;"289,77 $"
52;1eeddf2b;"💄 (upgrade.less): add new padding-bottom class ...";6;1;2;"11,53 $"
53;547095d0;"comments pull request fixes";2;3;2;"8,12 $"
54;7eee56eb;"✨ (locales): add title field and placeholder for...";115;8;6;"102,82 $"
55;ab27ceb5;"✨ (create-new-task.vue): add v-model binding to ...";41;3;2;"36,93 $"
56;cf6621af;fixs;39;52;1;"21,32 $"
57;d1f0a356;"✨ (task-creation.less): add styles for wallet am...";196;4;6;"163,54 $"
58;4505a8e9;merging;567;56;26;"487,68 $"
59;c580a2ab;"cron first commit";151;43;3;"112,25 $"
60;c77a4132;"✨ (style.less): import new task-creation.less fi...";237;19;9;"199,72 $"
61;61e83fca;"📝 (README.md): fix indentation for consistency ...";1;1;1;"4,74 $"
62;10365c8f;"📝 (README.md): improve clarity and formatting i...";3;1;1;"6,22 $"
63;08202c59;"🔧 (env.example): add TEST_HASH variable to .env...";14;13;4;"20,92 $"
64;7b28850c;"✨ (app.vue): update initData for development env...";27;3;6;"38,96 $"
65;686f34e9;"✨ (Navbar.vue): add dropdown menu for created ta...";85;5;6;"81,34 $"
66;86a86535;"📝 (README.md): update status icon for Reporting...";1;1;1;"4,74 $"
67;fd0c20b5;"📝 (README.md): add code formatting to file and ...";1;1;1;"4,74 $"
68;2c253788;"📝 (README.md): improve table formatting for bet...";5;10;1;"5,67 $"
69;0ef77dc4;"📝 (README.md): add status icons to feature list...";5;0;1;"7,92 $"
70;f11d528e;"📝 (README.md): add section to describe existing...";2;0;1;"5,71 $"
71;07e30e79;"📝 (README.md): add features section and improve...";36;2;1;"30,37 $"
72;28133ca3;"📝 (README.md): update logo width to 300px for b...";1;1;1;"4,74 $"
73;fd8bb72a;"📝 (README.md): center align the project descrip...";3;1;1;"6,22 $"
74;3ee2a8d8;"📝 (README.md): add logo to the README for bette...";3;1;2;"9,31 $"
75;bcb725d1;"📝 (README.md): fix code block indentation for b...";10;10;1;"9,36 $"
76;bbd4db98;"📝 (README.md): add instructions to run `npx pri...";6;1;1;"8,44 $"
77;5342ce1e;"✨ (TaskCreator.vue): remove loading check for ta...";118;21;4;"95,92 $"
78;b84eab47;"✨ (TaskCreator.vue): add task cancellation funct...";48;5;3;"44,74 $"
79;8c7e91b6;"✨ (app.vue): update initData hash for developmen...";7;3;5;"21,09 $"
80;34366373;"✨ (app.vue): update initData hash for developmen...";38;8;7;"49,05 $"
81;6196c490;"✨ (TaskUser.vue): add display for 'APPROVED' tas...";14;2;2;"17,21 $"
82;3aea5051;"✨ (app.vue): update initData for development env...";262;25;12;"226,11 $"
83;71b21c32;"✨ (ReportCheckModal.vue): add checkTask method t...";79;3;4;"71,17 $"
84;ac4b1925;"📝 (README.md): update repository directory name...";1;1;1;"4,74 $"
85;b86f591e;"📝 (README.md): update project name and descript...";2;2;1;"5,26 $"
86;8da58b96;"📝 (README.md): update README with project-speci...";44;49;2;"28,79 $"
87;b808f9ec;"✨ (modals.less): add small class for modal heigh...";120;12;9;"114,89 $"
88;4ce47d90;"✨ (app.vue): update initData hash for developmen...";32;3;3;"33,37 $"
89;2011d21d;"♻️ (TaskCreator.vue): adjust task status layou...";67;28;3;"53,59 $"
90;464152a2;"✨ (app.vue): update initData hash for developmen...";24;4;3;"27,24 $"
91;62d59276;"🌐 (app.vue): update initData hash for developme...";4;3;3;"12,69 $"
92;833713a2;"✨ (ReportModal.vue): add outside click handling ...";196;196;6;"120,32 $"
93;32979a3f;"✨ (app.vue): update initData for development env...";126;15;6;"109,37 $"
94;a7f686ae;"💡 (manageWallet.js): remove unnecessary console...";0;1;1;"4,00 $"
95;05a5582e;"✨ (tasks.less): add margin-top to report_list_li...";131;5;7;"118,41 $"
96;03afed36;"✨ (TaskCreator.vue, reportsList.vue): add event ...";12;2;2;"15,73 $"
97;eb069056;"✨ (tasks.less): add styles for report list link ...";45;5;5;"48,71 $"
98;5d871839;"✨ (app.vue): update initData for development env...";195;81;7;"148,56 $"
99;9154e1e9;"✨ (colors.less): add new red color variable for ...";204;1;6;"170,12 $"
100;5f678be3;"✨ (app.vue): update initData for development env...";198;46;9;"164,84 $"
101;f1e28fb6;"✨ (CreatedTasks.vue): add new component for disp...";109;13;4;"91,08 $"
102;cba231c9;"✨ (Navbar.vue): add new link to created tasks in...";66;39;9;"68,93 $"
103;bdf6a97f;"✨ (TaskUser.vue): add task completion status and...";23;15;5;"30,21 $"
104;5bbe8a3d;"✨ (app.vue): update initData for development env...";178;17;7;"150,41 $"
105;7b360bea;"✨ (animation): add new 'Money Mouth' animation t...";47;2;7;"57,04 $"
106;2a35956a;"✨ (wallet): add CurrsCards component to display ...";71;15;5;"65,66 $"
107;8cb8cbac;"✨ (TotalCard.vue): add buttons for top-up and wi...";224;20;12;"199,17 $"
108;0df23567;"✨ (app.vue): update initData for development env...";155;13;12;"149,79 $"
109;2737deca;"✨ (USDT.svg): add USDT logo to public/img/currs ...";37;16;4;"37,23 $"
110;d7840da4;"✨ (app.vue): update initData hash for developmen...";35;5;4;"38,23 $"
111;cf6c3df8;"🐛 (app.vue): update initData hash for developme...";11;7;2;"13,87 $"
112;ac68812d;"✨ (tasks): add task links feature in TaskUser co...";205;61;10;"169,73 $"
113;adcc63bf;"✨ (prisma): add Report model and migration for r...";42;0;3;"41,43 $"
114;833d12d4;"🐛 (app.vue): update initData hash to correct de...";15;13;4;"21,66 $"
115;078e068a;"✨ (modals.less): increase modal height to 90vh f...";89;7;5;"80,75 $"
116;34680881;"✨ (app.vue): add dark theme attribute to main co...";183;18;12;"169,34 $"
117;4396a561;"✨ (app.vue): update initData hash for developmen...";91;25;8;"87,45 $"
118;af282239;"✨ (TakenTasks.vue): add status ref to filter tas...";126;24;7;"110,44 $"
119;b2595f31;"✨ (app.vue): add fallback for initData in develo...";125;22;13;"128,70 $"
120;ca596bca;"✨ (TaskUser.vue): add loading spinner and import...";29;1;3;"31,61 $"
121;7c0ec382;"✨ (Navbar.vue): replace divs with NuxtLink for n...";167;6;8;"147,86 $"
122;a1b97663;"✨ (app.vue): add id attribute to main container ...";178;14;13;"169,65 $"
123;0282d3cd;"✨ (tasks): add full task card component and styl...";346;43;15;"293,37 $"
124;948caecf;"💡 (tasks/[id].vue): remove placeholder text fro...";1;1;1;"4,74 $"
125;5269a491;"✨ (app.vue): update initData for development env...";140;8;11;"136,75 $"
126;9a493df8;"✨ (app.vue): update initData for development env...";165;13;14;"163,36 $"
127;3d87c25f;"✨ (layout.less): update .pages_logo to be center...";12;6;4;"21,02 $"
128;c0f8cbdd;"💄 (app.vue): center align global error message ...";206;10;15;"197,41 $"
129;2194c6c1;;123;8;13;"130,38 $"
130;9f216f24;"✨ (app.vue): replace NuxtPage with NuxtLayout fo...";34;8;5;"39,91 $"
131;0cbf7a26;"✨ (styles): add new color variable --hub to colo...";684;11;15;"550,20 $"
132;74674824;"✨ (app.vue): add dynamic app height and loading ...";592;8;10;"467,46 $"
133;b875dd04;"✨ (app.vue): add loading state and display loadi...";51;10;4;"48,92 $"
134;fb5b0a12;Init;10661;0;22;"7 942,51 $"

ИТОГО
"Всего коммитов";134
"Добавлено строк";27382
"Удалено строк";2917
"Изменено файлов";753
"Общая стоимость";"22 046,43 $"
"Средняя стоимость";"164,53 $"
